admonition_id,admonition_sha256,source_file,source_reference,type,lesson_ids,candidate_lesson_id,coverage_decision,editorial_status,technical_status,preview
GuidedTour/GuidedTour.xhtml#note-015,cafb5bda78f57e43d018b5a7b172c403a38e8b559d7beb3be29855211a67548a,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Enumerations-and-Structures,note,swift.enums.syntax|swift.types.structure-definition,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Experiment Write a function that returns an array containing a full deck of cards, with one card of each combination of rank and suit."
GuidedTour/GuidedTour.xhtml#note-016,65f12ace6b041d8391905f61a93c2313fc54d8d00b04dc3d60b810858ddb5431,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Protocols-and-Extensions,note,swift.extensions.syntax|swift.protocols.syntax,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Add another requirement to ExampleProtocol . What changes do you need to make to SimpleClass and SimpleStructure so that they still conform to the protocol?
GuidedTour/GuidedTour.xhtml#note-017,af92b1866be223ff314b084711c48b05c802a2756079cd53b5b67a05ae0d895b,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Protocols-and-Extensions,note,swift.extensions.syntax|swift.protocols.syntax,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Write an extension for the Double type that adds an absoluteValue property.
GuidedTour/GuidedTour.xhtml#note-018,bd6edc40ed658cc81367151dbb96437dbcf29814ccbc70396c10bfef8613fd91,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Error-Handling,note,swift.errors.do-catch|swift.errors.throw,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Experiment Change the printer name to ""Never Has Toner"" , so that the send(job:toPrinter:) function throws an error."
GuidedTour/GuidedTour.xhtml#note-019,2b8d422e86d3efc89063aa6b7cb8a1b6767ce9c713c0525309dea23385507935,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Error-Handling,note,swift.errors.do-catch|swift.errors.throw,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Add code to throw an error inside the do block. What kind of error do you need to throw so that the error is handled by the first catch block? What about the second and third blocks?
GuidedTour/GuidedTour.xhtml#note-020,c4d55c71423fa04e562c7bc8f4ccaaf8745f3a874de215921691163f40b934df,GuidedTour/GuidedTour.xhtml,GuidedTour/GuidedTour.xhtml#Generics,note,swift.generics.function,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Experiment Modify the anyCommonElements(_:_:) function to make a function that returns an array of the elements that any two sequences have in common.
LanguageGuide/TheBasics.xhtml#note-001,73d652c780132cfd3e23c86b9d1797f96386cdea1f6b4cb4d05cc472b2bf5493,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Type-Annotations,note,swift.bindings.type-annotations,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note It's rare that you need to write type annotations in practice. If you provide an initial value for a constant or variable at the point that it's defined, Swift can almost always infer the type to be used for that constant or variable, "
LanguageGuide/TheBasics.xhtml#note-002,5f006900b24c33c32e6f1c62df1350b08ca8a069869797ddefc21b83dfb068db,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Naming-Constants-and-Variables,note,swift.bindings.identifier-naming,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note If you need to give a constant or variable the same name as a reserved Swift keyword, surround the keyword with backticks ( ` ) when using it as a name. However, avoid using keywords as names unless you have absolutely no choice."
LanguageGuide/TheBasics.xhtml#note-003,0b35e3b855b43351ec2a33e870c2dc6bb72faabc4da4b8316f8b94e6d9a480a2,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Printing-Constants-and-Variables,note,swift.output.string-interpolation,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,Note All options you can use with string interpolation are described in String Interpolation .
LanguageGuide/TheBasics.xhtml#note-004,0c899878174ef2bec3990caf619b7d90f43ca1489a5fe2d23c53e1387842b369,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Integers,note,swift.numbers.fixed-point|swift.numbers.integer-exactness,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note For calculations in a regulated area like finance or construction, or in a domain that has an expectation of high-precision results, you might need a special-purpose numeric type that implements behaviors such as rounding and truncatio"
LanguageGuide/TheBasics.xhtml#note-005,0ffaa15b43902b399a78c35cdc15cfaa058e85eca67f0423b4435d82a021e8a6,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#UInt,note,swift.numbers.uint-selection,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note Use UInt only when you specifically need an unsigned integer type with the same size as the platform's native word size. If this isn't the case, Int is preferred, even when the values to be stored are known to be nonnegative. A consist"
LanguageGuide/TheBasics.xhtml#note-006,53186123ac5574036b6d924f57c76adefae20f1e8a7bca387b9818a4892a9f73,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Integer-and-Floating-Point-Conversion,note,swift.numbers.floating-to-integer|swift.numbers.integer-to-floating,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note The rules for combining numeric constants and variables are different from the rules for numeric literals. The literal value 3 can be added directly to the literal value 0.14159 , because number literals don't have an explicit type in "
LanguageGuide/TheBasics.xhtml#note-007,7b9bff906487cd2b5ee7d9f6de29d26db0c2f7a88e3060c069be9302e9137b92,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Tuples,note,swift.tuples.creation|swift.tuples.decomposition|swift.tuples.ignore-elements|swift.tuples.indexed-access|swift.tuples.named-elements|swift.tuples.simple-modeling,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note Tuples are useful for simple groups of related values. They're not suited to the creation of complex data structures. If your data structure is likely to be more complex, model it as a class or structure, rather than as a tuple. For mo"
LanguageGuide/TheBasics.xhtml#note-008,c5611ec13939597720f4de86b8cfeb0fbb6e9d0b8ae31480afaf1e55bfb57681,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#nil,note,swift.optionals.nil|swift.optionals.nil-check,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note In Objective-C, nil is a pointer to a nonexistent object. In Swift, nil isn't a pointer—it's the absence of a value of a certain type. Optionals of any type can be set to nil , not just object types."
LanguageGuide/TheBasics.xhtml#note-009,bfc5990ee201f366dcebf917ec2257eab465d38e8be1a62fc5c5edbf5b117694,LanguageGuide/TheBasics.xhtml,LanguageGuide/TheBasics.xhtml#Enforcing-Preconditions,note,swift.runtime-checks.fatal-error|swift.runtime-checks.precondition,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note If you compile in unchecked mode ( -Ounchecked ), preconditions aren't checked. The compiler assumes that preconditions are always true, and it optimizes your code accordingly. However, the fatalError(_:file:line:) function always halt"
LanguageGuide/BasicOperators.xhtml#note-001,4fe6a7676bc0812eb4e04b0601823891cd4dec948e7fe7f04560b2d5e4be8b3d,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Remainder-Operator,note,swift.operators.negative-remainder|swift.operators.remainder,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note The remainder operator ( % ) is also known as a modulo operator in other languages. However, its behavior in Swift for negative numbers means that, strictly speaking, it's a remainder rather than a modulo operation."
LanguageGuide/BasicOperators.xhtml#note-002,fa7e16a3111bb0375b9f5b9e997da80b3443862a0126d6f26eafac98ea34604d,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Compound-Assignment-Operators,note,swift.operators.compound-assignment,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note The compound assignment operators don't return a value. For example, you can't write let b = a += 2 ."
LanguageGuide/BasicOperators.xhtml#note-003,9c08c0f3d4f2de210f58a68707cfb9ab81eec413936fe7a9a203ffaa6134b6fe,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Comparison-Operators,note,swift.comparisons.tuple-elements|swift.comparisons.tuple-order|swift.comparisons.values,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note Swift also provides two identity operators ( === and !== ), which you use to test whether two object references both refer to the same object instance. For more information, see Identity Operators ."
LanguageGuide/BasicOperators.xhtml#note-004,63ce6a0bfde1bdd0a13f268dcfbb7a92c741637ff4036f4ce7c5d7fab0276e13,LanguageGuide/BasicOperators.xhtml,LanguageGuide/BasicOperators.xhtml#Comparison-Operators,note,swift.comparisons.tuple-elements|swift.comparisons.tuple-order|swift.comparisons.values,,mapped-to-canonical-lessons,pending-editorial-validation,pending-technical-validation,"Note The Swift standard library includes tuple comparison operators for tuples with fewer than seven elements. To compare tuples with seven or more elements, you must implement the comparison operators yourself."
